auc,acc,f1,precision,recall,specificity,loss,threshold,model_family,fourier_mode,regime,seed,run_name
0.4826813093218936,0.5051139422214247,0.6148582600195504,0.5385932721712539,0.7162843663575728,0.2454490898179636,1.1126104627143254,0.5,clip,frequency_3,finetune,2024,seed_2024
0.4866963143726842,0.4883366230037682,0.6096242042576494,0.5262349326400378,0.7244184154872295,0.1980396079215843,1.5927436378869144,0.5,clip,frequency_3,finetune,2025,seed_2025
0.5756949014660586,0.5890902565942939,0.6512867367138724,0.612136825533133,0.6957865625508378,0.4578915783156631,1.7384853051467375,0.5,clip,concat_frequency,finetune,7,seed_7
0.6169574894318379,0.6010227884442849,0.6486529193331754,0.630568356374808,0.6678054335448186,0.5189037807561512,1.7759984934871846,0.5,clip,concat_frequency,finetune,42,seed_42
0.6150183021800391,0.6112506728871344,0.6556465071922435,0.6409260410192666,0.6710590531966814,0.5377075415083017,1.6373892629688436,0.5,clip,concat_frequency,finetune,123,seed_123
0.5863590971000447,0.5877444823254979,0.6419387516558872,0.6160634160933294,0.6700829673011225,0.4864972994598919,1.8440086489373988,0.5,clip,concat_frequency,finetune,2024,seed_2024
0.5754243739588979,0.5772474430288893,0.6326212381100889,0.6074262614163797,0.6599967463803481,0.4754950990198039,2.2211527011611243,0.5,clip,concat_frequency,finetune,2025,seed_2025
0.667338608440738,0.6434595370536516,0.690015600624025,0.6628203206953395,0.7195379860094355,0.5499099819963993,1.9296517019922084,0.5,dino,none,finetune,7,
0.717114156522536,0.656378970034093,0.7019919078742608,0.6727815063385533,0.7338539124776313,0.5611122224444889,1.775758358565244,0.5,dino,none,finetune,42,
0.7226515255873689,0.6261439081284765,0.6686809254989267,0.6539657853810265,0.6840735318041321,0.5549109821964393,1.7072586146267978,0.5,dino,none,finetune,123,
0.7516716292664747,0.6821281177103894,0.7318955732122588,0.6842105263157895,0.7867252318204002,0.5535107021404281,1.0740337053483182,0.5,dino,none,finetune,987,
0.7277711276759988,0.670554458998744,0.7208878078443296,0.6765587102297047,0.7714332194566456,0.546509301860372,1.5825813168829137,0.5,dino,none,finetune,2024,
0.7380941781328446,0.6752198097972367,0.7107702141259188,0.6983827916470403,0.7236050105742639,0.6157231446289257,1.502953433177688,0.5,dino,none,finetune,2025,
