model_family,fourier_mode,regime,seed,test_auc,test_acc,test_f1,test_precision,test_recall,test_specificity,test_d_auc,test_d_acc,test_d_f1,test_d_precision,test_d_recall,test_d_specificity,delta_auc,delta_acc
resnet,complex,finetune,2024,0.6848014617057606,0.632689739319692,0.6774550070222347,0.6823652944951095,0.6726148833197566,0.5790056957294915,0.5465687283871545,0.539926462101601,0.570143321505415,0.6141472696698823,0.5320235756385069,0.5505528208035876,-0.13823273331860608,-0.09276327721809097
resnet,complex,finetune,7,0.6950878808193961,0.6386420221273228,0.6909554116176098,0.6780288004723204,0.7043844937467056,0.5502435504239581,0.5384651575520774,0.5328804541982006,0.5658519142849846,0.6058521111354189,0.5308064593416072,0.5356691837839231,-0.15662272326731874,-0.10576156792912217
resnet,complex,finetune,2025,0.6506762328102916,0.6085068728805642,0.6569544843794397,0.6602838389901063,0.6536585365853659,0.5477951599185588,0.5296800926374625,0.5348920289974552,0.596075548788346,0.5937601034594245,0.5984091235804303,0.4494858379938661,-0.12099614017282911,-0.0736148438831089
resnet,concat,finetune,42,0.8708576795343927,0.7633816441051515,0.7643749247457775,0.8910538605826284,0.6692318750299487,0.8899770624468442,0.6478589091752335,0.587819529863092,0.5783836964160225,0.699578403372773,0.4929800182088265,0.7153423880827814,-0.22299877035915927,-0.17556211424205947
resnet,concat,finetune,123,0.8719498112790347,0.7626451658999599,0.7636544734134542,0.8901491470929713,0.6686376922708324,0.889049251307956,0.6704185299332889,0.6079462700676571,0.6290902094956816,0.6876236160683838,0.5797402846327088,0.6458725290585294,-0.20153128134574583,-0.15469889583230279
resnet,concat,finetune,2024,0.8848593993917804,0.7883284692795155,0.7950291386146519,0.893967684021544,0.7158081364703628,0.885840571119301,0.7039240088513117,0.6338549137935773,0.6545105665759108,0.7131894213381555,0.6047534620729311,0.6729852323393727,-0.1809353905404687,-0.15447355548593822
resnet,concat,finetune,7,0.8768559474755285,0.7767481739187786,0.7792919084566734,0.8997854427282651,0.687258613254109,0.8970773949125023,0.6567058896671437,0.6136951969529588,0.6390225614108971,0.6884405984419264,0.5962240644017442,0.6371871858972706,-0.2201500578083848,-0.16305297696581977
resnet,concat,finetune,2025,0.8538328266495273,0.7375994108174359,0.7293710852251792,0.8926876647703621,0.6165700321050361,0.9003376201644288,0.6519345563213232,0.5800590281785355,0.5671653628056897,0.6935247014491147,0.4797546600220422,0.7149300275766088,-0.20189827032820407,-0.15754038263890036
resnet,frequency_3,finetune,42,0.7483616814488686,0.6834078055697538,0.7251594803112789,0.7220691358963152,0.728276390818918,0.6230767248266798,0.5436179454222991,0.542537112455825,0.6114881580298547,0.5960525238186236,0.62774450141358,0.4279657740779877,-0.20474373602656948,-0.14087069311392875
resnet,frequency_3,finetune,123,0.7553818271201969,0.6873759941081744,0.7394449101494684,0.7082448535476737,0.7735205328477647,0.5715445478209324,0.5332708171708795,0.5446641054812665,0.6282770905403525,0.5906874325053996,0.670976088935742,0.374822813845004,-0.22211100994931732,-0.14271188862690787
resnet,frequency_3,finetune,2024,0.7484212419436094,0.6900800782645495,0.7297189775249124,0.7299253974646644,0.7295126743015957,0.6370583232390917,0.5345547722420347,0.5283351745288463,0.5648483373391341,0.5997480321743531,0.5337869567300781,0.5210046132831628,-0.21386646970157464,-0.16174490373570327
