model_family,fourier_mode,regime,split,auc_mean,auc_std,acc_mean,acc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,loss_mean,loss_std
dino,complex,finetune,test_d,0.49767622555732893,0.005162967303455273,0.5733790609353273,0.000250709199607597,0.728751632716168,0.00042361954038371214,0.5734853483418538,1.3043333462192823e-05,0.9993061478748382,0.0015515005181943743,0.00067008582253034,0.0014983574499367004,1.0534388282959033,0.01314314465412083
dino,complex,finetune,val,0.5003775672979975,0.0008379845473915555,0.5990798232934997,3.034775320123417e-06,0.7492798470937772,4.703615236337499e-07,0.5990795481248734,2.4194795666363535e-06,0.9999977345325208,5.065739284278728e-06,6.770366107547266e-06,1.5138998849036337e-05,0.6008496084577666,0.002764791126360749
dino,concat,finetune,test,0.9166012442969382,0.007047398975634075,0.851158853951975,0.013897729413024385,0.8596985764448564,0.014701820279855983,0.9348621694589614,0.011439252815123497,0.7960381426996981,0.024006841460999493,0.925275121775212,0.014236406235865527,0.48503943662917665,0.030486115908066425
dino,concat,finetune,test_d,0.6833593840207605,0.010164931793066736,0.6383727129328871,0.009996828375999127,0.6736738913358282,0.013125562698116539,0.698010859527304,0.008544693666133637,0.6513469739805453,0.023551093485044583,0.6209272956882554,0.020775429022489727,1.8129036556760316,0.14394099641347044
dino,concat,finetune,val,0.9877258967455724,0.0013974780445154477,0.962636482699185,0.005437293548678615,0.9687219623508166,0.004498519316509678,0.9718660913406689,0.006419351034096088,0.9656056727305679,0.0029770389104067855,0.9581997596520031,0.009679689584406131,0.1397018231580766,0.02716722248491064
dino,concat_frequency,finetune,test,0.855460649213962,0.005557667082289699,0.7760776489856936,0.012229758439747445,0.7893760232878844,0.013992696919073335,0.8565434244176983,0.006976135360731336,0.7321769131247304,0.02249096519237554,0.835107342594263,0.009475769921807715,0.8138943264473655,0.07699767291759904
dino,concat_frequency,finetune,test_d,0.6820045202543146,0.010080800097974891,0.6628908418385574,0.012181012692315033,0.7274633644837093,0.017842564212393497,0.6778893278000991,0.008893318727312126,0.7862973788873449,0.04525203871964031,0.49695626401381404,0.04241435104413779,1.537412198508539,0.19709393990710142
dino,concat_frequency,finetune,val,0.9497588359553201,0.0012291287291618525,0.8861654553721084,0.0057810797113424855,0.905366618525972,0.005225267651322092,0.9016693088415796,0.0013729564385762956,0.9091207720713168,0.009471584662465223,0.8518643895668658,0.0015183404532820104,0.516544450223673,0.08384279046382713
dino,frequency_3,finetune,test,0.7676817692635864,0.015072934484269003,0.6796704534837068,0.011257711203857738,0.7514943577585188,0.010323060102878435,0.6769267811610087,0.009221322386101304,0.8449159039723992,0.02394843075914639,0.4574785443674132,0.029034844229493387,0.6550033916759387,0.06040029535022938
dino,frequency_3,finetune,test_d,0.5370910695690657,0.006308148953328601,0.5417885428174138,0.007372765945333842,0.6293491307182176,0.020665232192778236,0.5868243432995786,0.004203234676390414,0.6802491734151134,0.04925765168390548,0.3556119687636916,0.05308718739914813,1.4437908025954418,0.13431035602520097
