model_family,fourier_mode,regime,split,auc_mean,auc_std,acc_mean,acc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,loss_mean,loss_std
mobilenet,magnitude,finetune,celeb_df_video,0.45653668208856574,0.014018903000020747,0.537065637065637,0.0749348141261598,0.2655879850017074,0.10532008417479369,0.29913725900133814,0.031075836382552735,0.2741573033707865,0.1841720075571485,0.6747058823529412,0.2077291122665405,0.0,0.0
mobilenet,none,finetune,celeb_df_video,0.3295703899537343,0.0200091451968619,0.32277992277992273,0.01374593291036131,0.3621846389714642,0.021870099867032273,0.2676669593526756,0.009554762128474802,0.5617977528089888,0.06491134836118731,0.19764705882352937,0.05344531208705816,0.0,0.0
mobilenet,phase,finetune,celeb_df_video,0.43507931262392596,0.009276810024747133,0.6555984555984556,0.001057379454643212,0.012951754128224701,0.01919951972870647,0.18888888888888888,0.2593915006650834,0.00674157303370784,0.01004974371910015,0.9952941176470589,0.006098953339214048,0.0,0.0
resnet,complex,finetune,celeb_df_video,0.41131526768010573,0.06033347244149105,0.44517374517374525,0.12850967246196032,0.3398726311354084,0.16855054930686708,0.3121667269818019,0.01098262630983917,0.5202247191011236,0.33713950761517203,0.40588235294117647,0.3716662658202772,0.0,0.0
resnet,concat,finetune,celeb_df_video,0.3524289491077329,0.026522304400984652,0.3633204633204633,0.03305614639846176,0.3754928197083966,0.07985017804588747,0.2816437098742721,0.03970747011622677,0.5808988764044944,0.21380076904052028,0.2494117647058823,0.14871712075924687,0.0,0.0
resnet,concat_frequency,finetune,celeb_df_video,0.3859500991407799,0.01857935295164261,0.33513513513513515,0.00999396069926235,0.47304185125157894,0.035274026786145295,0.32477395998635317,0.015617093239414077,0.8752808988764045,0.12195023416822595,0.05235294117647056,0.0722057325983831,0.0,0.0
resnet,frequency_3,finetune,celeb_df_video,0.47504957038995366,0.017825044569537752,0.40308880308880307,0.05550654672761923,0.4642397511139015,0.04913024184975515,0.3375646061132146,0.008317109045096045,0.7719101123595505,0.19024963832612618,0.20999999999999996,0.18213459413473007,0.0,0.0
resnet,magnitude,finetune,celeb_df_video,0.47245208195637806,0.02981347298853041,0.3845559845559845,0.030809504428425605,0.47529372176958046,0.02111390103554381,0.3364664182223519,0.009305319109923592,0.8146067415730338,0.09542296489585966,0.1594117647058823,0.09099602637812819,0.0,0.0
resnet,magnitude,scratch,celeb_df_video,0.44796761401189683,0.031744508694191945,0.35212355212355206,0.015480170036084553,0.4954671395708298,0.010431609690472276,0.3383295875220999,0.0029655976849084567,0.9269662921348314,0.05715446614993206,0.051176470588235254,0.05214267092782927,0.0,0.0
resnet,none,finetune,celeb_df_video,0.27164243225380036,0.033530429849298014,0.34324324324324323,0.08809098402552429,0.27201385485380974,0.09378259476029312,0.2179081003037598,0.045633749095443384,0.3898876404494382,0.2010184270888847,0.3188235294117646,0.2376408706241489,0.0,0.0
resnet,none,scratch,celeb_df_video,0.45661269001982807,0.012161355435553065,0.6370656370656371,0.009054856679195854,0.01473065675110014,0.005932924650320196,0.12486198012513801,0.07932177242902272,0.00786516853932576,0.003077093019691951,0.9664705882352941,0.012752637287458127,0.0,0.0
resnet,phase,finetune,celeb_df_video,0.35474553866490416,0.010541505997302405,0.39459459459459456,0.10024306709398885,0.325510834555647,0.12500989148316885,0.2646511320382897,0.04187541500300261,0.4842696629213483,0.2622277897370721,0.34764705882352936,0.28386848165813117,0.0,0.0
resnet,phase,scratch,celeb_df_video,0.37682308878607623,0.008863484110355495,0.3307593307593307,0.0067796999696606896,0.47357554407778,0.012071366434853794,0.32446896339258086,0.006671205830133027,0.8764044943820224,0.03417282320392249,0.04509803921568623,0.010329072306718345,0.0,0.0
vit,complex,finetune,celeb_df_video,0.498212161269002,0.018735302864212173,0.3436293436293436,0.0,0.5114942528735632,0.0,0.3436293436293436,0.0,1.0,0.0,0.0,0.0,0.0,0.0
vit,concat,finetune,celeb_df_video,0.4126272306675479,0.02100295790921691,0.3393822393822393,0.001615173796397858,0.5027260024389977,0.005009477417055084,0.3390612013714628,0.002361775859338918,0.9719101123595506,0.018204327804516515,0.00823529411764704,0.008675224237501548,0.0,0.0
vit,concat_frequency,finetune,celeb_df_video,0.45225380039656315,0.014091785540643477,0.34324324324324323,0.0008633467094593797,0.5110659058959729,0.000957812959848569,0.34337542848181146,0.0005677715303988361,0.9988764044943821,0.002512435929775094,0.0,0.0,0.0,0.0
