model_family,fourier_mode,regime,split,auc_mean,auc_std,acc_mean,acc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,loss_mean,loss_std
dino,frequency_3,finetune,celeb_df_frame,0.46554502460160097,0.02312171189584112,0.37068211068211065,0.00881872966066584,0.49557395439760554,0.004428138939345326,0.3420049437301297,0.002367770626951119,0.8997752808988764,0.022645397736217543,0.09368627450980385,0.02344527440582919,1.651956056473685,0.42731628771626506
dino,magnitude,finetune,celeb_df_frame,0.4889703752662113,0.010478485141152261,0.37495495495495496,0.020070330138114354,0.4912977676526459,0.007500386718592602,0.3411798732058259,0.004075748781426213,0.8789513108614232,0.04506568994996573,0.11109803921568624,0.052194921983034645,1.5925198085239676,0.310157665649759
dino,none,finetune,celeb_df_frame,0.3240640498396612,0.05435147081573417,0.3724581724581724,0.069769620585202,0.28987215835391666,0.065820694044374,0.23848531117590066,0.0372765418838525,0.38845193508114856,0.17060793223456858,0.36408496732026147,0.17450537190523888,2.8709383743708248,0.40239919152325543
dino,phase,finetune,celeb_df_frame,0.4231954835866931,0.013475153145048071,0.3673101673101673,0.014646956746931077,0.4562339794994634,0.006937784424974057,0.32380545461483773,0.0019950364213652773,0.7729588014981273,0.03842776937344819,0.1549411764705882,0.04180919107427546,1.5820541809328268,0.31975641378816977
mobilenet,complex,finetune,celeb_df_frame,0.4649016303150474,0.007376861581291205,0.5242213642213642,0.005182797487434094,0.3188357956855837,0.007255809197738304,0.31381671928314697,0.005474094234340438,0.32411985018726586,0.010885933857429184,0.6289803921568627,0.010556779710071724,2.459123179169952,0.3667417145354568
mobilenet,concat,finetune,celeb_df_frame,0.4511421752221487,0.01444128503105286,0.45009009009009004,0.020032496469846863,0.3867764520777023,0.017099880003591694,0.31381674323051556,0.00900212144179477,0.5058426966292136,0.0451870757798229,0.42090196078431374,0.04933401134232806,8.481843950538362,2.8396740941554777
mobilenet,concat_frequency,finetune,celeb_df_frame,0.45302136300212964,0.006186606082164324,0.4325611325611326,0.017882372289440725,0.4050171646279465,0.017643442764381737,0.3167604592547846,0.004561019668431186,0.5638951310861423,0.05658009680595144,0.36380392156862745,0.055723303071428844,4.754104353951627,2.0660816409138545
mobilenet,frequency_3,finetune,celeb_df_frame,0.4472999559374312,0.017136288729948775,0.4423938223938224,0.02592111332330382,0.3958122790921439,0.01100778335860023,0.3158694555954246,0.008301775737648523,0.5323595505617977,0.04305210456137766,0.39529411764705885,0.059981574769283515,4.417806273833162,1.953252265932861
mobilenet,magnitude,finetune,celeb_df_frame,0.46022405081882933,0.006289769606386815,0.4307335907335907,0.015100863850785157,0.4216322682630004,0.013623678194481249,0.3240314059577218,0.0035064482230396355,0.6050936329588015,0.0486441739940829,0.3394509803921569,0.04743728533532058,4.771642296335308,0.9773735250532708
mobilenet,none,finetune,celeb_df_frame,0.3819140265844165,0.012131199856154943,0.4137451737451737,0.021048944411031136,0.32418842965979383,0.008037500093934984,0.26869477137970565,0.004172960440982762,0.4096629213483146,0.02791380516399736,0.4158823529411764,0.04598509529021813,3.367456238191636,0.38567478181477594
